평균기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),평균 증기압(hPa),평균 현지기압(hPa),합계 일사량(MJ/m2),일 최심신적설(cm),평균 전운량(1/10),합계 대형증발량(mm),피해면적_등급
30.6,0.0,2.6,59.1,25.3,1013.0,23.17,0.0,6.8,5.4,1
26.9,0.0,0.7,73.3,25.1,1000.2,27.48,0.0,2.8,5.2,1
27.0,0.0,2.1,59.6,20.6,984.6,26.14,0.0,3.8,6.0,1
25.6,0.0,2.0,66.3,21.4,991.3,21.02,0.0,4.8,4.8,1
22.4,0.0,1.6,61.9,16.4,1013.0,23.4,0.0,7.9,4.2,1
24.6,0.0,2.9,43.6,13.0,1009.5,28.46,0.0,5.6,6.6,2
23.9,0.0,3.0,68.6,20.2,1004.6,25.15,0.0,7.5,4.6,1
24.4,0.0,3.5,59.3,18.0,1002.4,27.27,0.0,7.4,5.6,1
20.5,0.0,3.5,55.3,12.8,993.4,29.45,0.0,0.4,6.5,1
18.4,19.4,3.8,61.9,12.7,1008.3,17.08,0.0,6.1,4.3,1
16.2,0.0,0.5,47.1,7.5,1004.0,25.73,0.0,3.4,4.7,1
18.5,0.0,3.1,30.3,6.1,1001.9,26.08,0.0,2.6,7.4,2
20.0,0.0,1.9,26.8,6.1,1003.8,24.06,0.0,7.3,5.9,1
11.6,0.0,2.2,36.0,4.4,997.0,26.81,0.0,0.0,5.8,1
15.2,0.0,2.1,53.6,9.3,998.9,21.1,0.0,4.9,4.0,1
13.3,12.0,2.6,83.3,12.6,1000.7,10.91,0.0,8.6,2.2,1
12.9,15.4,3.1,66.5,9.4,995.1,8.09,0.2,9.5,2.1,1
15.8,0.0,2.3,53.0,9.1,999.4,22.89,0.0,1.9,4.4,1
15.0,0.0,3.3,56.9,9.6,1010.0,23.37,0.0,1.6,4.5,1
15.4,0.0,2.1,41.8,7.3,1011.0,22.65,0.0,2.3,4.7,1
12.7,0.0,2.6,41.4,5.6,1004.1,25.36,0.0,0.1,5.3,1
11.2,0.0,2.2,50.3,6.1,1008.9,23.87,0.0,2.9,4.5,2
10.2,0.0,3.0,56.4,6.6,984.6,20.44,0.0,3.8,3.7,1
13.2,0.0,3.7,37.9,5.2,1008.3,24.92,0.0,0.3,5.9,1
8.2,0.0,1.4,61.8,6.2,1001.7,21.64,0.0,2.6,3.3,1
10.6,0.0,3.0,61.6,7.9,1010.3,25.52,0.0,2.3,3.8,1
7.7,0.0,0.7,57.9,5.4,1019.1,23.43,0.0,2.1,3.9,2
10.0,0.0,2.3,44.4,4.8,1015.9,24.07,0.0,0.1,5.1,1
4.2,0.0,1.4,62.3,4.8,1022.8,23.07,0.0,2.3,3.1,1
7.7,0.0,1.6,45.1,4.6,1019.1,20.34,0.0,4.9,3.1,1
3.1,0.0,4.3,45.8,3.5,1014.4,19.02,0.0,2.1,3.1,1
11.5,2.8,1.8,71.1,9.6,1000.0,10.47,0.0,9.4,2.0,1
19.6,1.2,2.5,63.6,14.7,993.8,12.87,0.0,7.8,3.5,1
17.6,0.0,1.7,45.3,8.7,997.1,22.9,0.0,0.1,5.1,1
12.4,0.0,1.1,56.9,7.1,1001.0,19.46,0.0,4.3,3.5,1
17.7,0.0,2.2,34.9,6.8,999.2,22.19,0.0,1.0,5.2,2
14.2,0.0,1.8,52.9,7.3,1000.9,21.1,0.0,1.3,4.8,1
18.5,0.0,3.0,42.8,8.1,990.8,20.89,0.0,0.0,6.7,2
14.6,0.0,2.7,66.8,10.9,999.5,20.32,0.0,0.0,3.6,1
13.7,0.0,3.8,62.3,9.1,997.3,19.99,0.0,0.0,4.8,2
18.3,0.0,2.3,40.1,7.9,997.3,17.5,0.0,4.3,5.1,1
16.5,0.0,2.4,49.4,9.0,997.2,18.82,0.0,3.1,3.9,1
12.7,0.0,2.8,59.0,8.4,1001.4,19.57,0.0,4.1,4.0,1
11.1,0.0,1.3,65.4,8.0,1006.9,19.34,0.0,3.1,3.4,2
14.3,0.0,1.4,49.8,7.4,1005.7,20.99,0.0,3.3,4.2,1
13.7,0.0,1.5,53.8,7.7,1005.3,22.44,0.0,0.0,4.4,1
18.9,0.0,2.5,21.9,4.6,999.5,22.08,0.0,0.0,6.8,2
13.7,0.0,1.5,53.8,7.7,1005.3,22.44,0.0,0.0,4.4,1
17.4,0.0,2.7,26.3,4.7,1003.5,21.42,0.0,0.0,7.1,1
13.7,0.0,1.5,53.8,7.7,1005.3,22.44,0.0,0.0,4.4,1
12.8,0.0,3.4,51.1,7.2,1005.3,22.0,0.0,0.0,4.7,1
2.8,0.1,2.8,58.0,4.3,1003.8,17.31,0.0,6.3,2.3,1
11.0,0.0,2.8,43.9,5.6,1012.9,15.46,0.0,6.8,3.3,1
9.3,0.0,1.5,41.4,4.1,1016.4,18.99,0.0,2.9,4.1,2
9.1,0.0,1.6,45.3,4.6,1022.8,19.1,0.0,2.9,4.0,2
12.1,0.0,3.7,39.5,5.3,1016.4,22.32,0.0,4.6,5.2,2
12.9,0.0,2.5,37.1,5.1,1020.3,20.86,0.0,4.1,5.0,1
12.5,0.0,2.5,37.3,4.9,1012.9,17.95,0.0,7.8,4.5,1
12.0,0.0,3.0,37.1,5.1,1012.7,15.92,0.0,6.5,3.8,1
11.5,0.0,3.7,40.6,5.3,1013.0,16.82,0.0,6.5,4.4,2
10.5,0.0,1.0,60.6,7.6,1009.1,13.96,0.0,5.8,2.2,1
5.8,0.0,1.6,66.9,5.8,1022.8,18.44,0.0,2.6,2.8,2
4.2,0.0,0.8,63.0,4.7,1020.2,18.98,0.0,0.0,2.5,2
10.3,0.0,3.1,17.5,2.2,1016.6,16.76,0.0,2.1,5.1,1
8.6,0.0,2.9,31.4,3.6,1014.3,13.46,0.0,6.3,3.1,1
2.4,0.0,2.4,48.5,3.3,1005.2,17.46,0.0,0.8,2.7,2
2.4,0.0,2.5,58.0,4.1,1016.0,18.6,0.0,0.5,2.5,1
5.5,0.0,2.3,48.8,4.2,1018.5,17.45,0.0,0.9,3.1,1
5.7,0.0,1.0,51.4,4.4,1016.9,18.63,0.0,1.5,2.8,2
1.7,0.0,1.8,58.8,4.2,1019.6,14.36,0.0,5.5,1.7,1
0.6,0.0,4.0,33.6,2.1,1019.2,19.96,0.0,1.9,3.2,1
0.6,0.0,4.0,33.6,2.1,1019.2,19.96,0.0,1.9,3.2,1
-3.7,0.0,3.9,47.8,2.2,1022.8,17.08,0.0,0.5,1.8,2
-1.0,0.4,2.2,54.6,2.9,1024.2,18.78,2.1,2.1,2.2,2
-2.8,0.0,1.8,43.1,2.0,1021.6,17.09,0.0,0.0,2.1,1
0.0,0.0,2.7,30.1,1.8,1017.7,16.65,0.0,4.9,2.5,1
0.0,0.0,2.4,35.8,2.2,1024.5,16.27,0.0,0.0,2.3,1
-2.2,0.0,2.9,38.3,1.9,1016.7,18.11,0.0,0.1,2.5,2
